$AliceBlue: #F0F8FF;
$MediumPurple1: #AB82FF;
$MediumPurple2: #9F79EE;
$MediumPurple3: #8968CD;
$MediumPurple4: #5D478B;
$MediumSeaGreen: #3CB371;
$MediumSlateBlue: #7B68EE;
$MediumSpringGreen: #00FA9A;
$MediumTurquoise: #48D1CC;
$MediumVioletRed: #C71585;
$MidnightBlue: #191970;
$MintCream: #F5FFFA;
$MistyRose: #FFE4E1;
$MistyRose1: #FFE4E1;
$MistyRose2: #EED5D2;
$MistyRose3: #CDB7B5;
$MistyRose4: #8B7D7B;
$Moccasin: #FFE4B5;
$NavajoWhite: #FFDEAD;
$NavajoWhite1: #FFDEAD;
$NavajoWhite2: #EECFA1;
$NavajoWhite3: #CDB38B;
$NavajoWhite4: #8B795E;
$Navy: #000080;
$NavyBlue: #000080;
$OldLace: #FDF5E6;
$Olive: #808000;
$OliveDrab: #6B8E23;
$OliveDrab1: #C0FF3E;
$OliveDrab2: #B3EE3A;
$OliveDrab3: #9ACD32;
$OliveDrab4: #698B22;
$Orange: #FFA500;
$Orange1: #FFA500;
$Orange2: #EE9A00;
$Orange3: #CD8500;
$Orange4: #8B5A00;
$OrangeRed: #FF4500;
$OrangeRed1: #FF4500;
$OrangeRed2: #EE4000;
$OrangeRed3: #CD3700;
$OrangeRed4: #8B2500;
$Orchid: #DA70D6;
$Orchid1: #FF83FA;
$Orchid2: #EE7AE9;
$Orchid3: #CD69C9;
$Orchid4: #8B4789;
$PaleGoldenrod: #EEE8AA;
$PaleGreen: #98FB98;
$PaleGreen1: #9AFF9A;
$PaleGreen2: #90EE90;
$PaleGreen3: #7CCD7C;
$PaleGreen4: #548B54;
$PaleTurquoise: #AFEEEE;
$PaleTurquoise1: #BBFFFF;
$PaleTurquoise2: #AEEEEE;
$PaleTurquoise3: #96CDCD;
$PaleTurquoise4: #668B8B;
$PaleVioletRed: #DB7093;
$PaleVioletRed1: #FF82AB;
$PaleVioletRed2: #EE799F;
$PaleVioletRed3: #CD6889;
$PaleVioletRed4: #8B475D;
$PapayaWhip: #FFEFD5;
$PeachPuff: #FFDAB9;
$PeachPuff1: #FFDAB9;
$PeachPuff2: #EECBAD;
$PeachPuff3: #CDAF95;
$PeachPuff4: #8B7765;
$Peru: #CD853F;
$Pink: #FFC0CB;
$Pink1: #FFB5C5;
$Pink2: #EEA9B8;
$Pink3: #CD919E;
$Pink4: #8B636C;
$Plum: #DDA0DD;
$Plum1: #FFBBFF;
$Plum2: #EEAEEE;
$Plum3: #CD96CD;
$Plum4: #8B668B;
$PowderBlue: #B0E0E6;
$Purple: #800080;
$Purple0: #A020F0;
$Purple1: #9B30FF;
$Purple2: #912CEE;
$Purple3: #7D26CD;
$Purple4: #551A8B;
$Red: #FF0000;
$Red1: #FF0000;
$Red2: #EE0000;
$Red3: #CD0000;
$Red4: #8B0000;
$RosyBrown: #BC8F8F;
$RosyBrown1: #FFC1C1;
$RosyBrown2: #EEB4B4;
$RosyBrown3: #CD9B9B;
$RosyBrown4: #8B6969;
$RoyalBlue: #4169E1;
$RoyalBlue1: #4876FF;
$RoyalBlue2: #436EEE;
$RoyalBlue3: #3A5FCD;
$RoyalBlue4: #27408B;
$SaddleBrown: #8B4513;
$Salmon: #FA8072;
$Salmon1: #FF8C69;
$Salmon2: #EE8262;
$Salmon3: #CD7054;
$Salmon4: #8B4C39;
$SandyBrown: #F4A460;
$SeaGreen: #2E8B57;
$SeaGreen1: #54FF9F;
$SeaGreen2: #4EEE94;
$SeaGreen3: #43CD80;
$SeaGreen4: #2E8B57;
$Seashell: #FFF5EE;
$Seashell1: #FFF5EE;
$Seashell2: #EEE5DE;
$Seashell3: #CDC5BF;
$Seashell4: #8B8682;
$Sienna: #A0522D;
$Sienna1: #FF8247;
$Sienna2: #EE7942;
$Sienna3: #CD6839;
$Sienna4: #8B4726;
$Silver: #C0C0C0;
$SkyBlue: #87CEEB;
$SkyBlue1: #87CEFF;
$SkyBlue2: #7EC0EE;
$SkyBlue3: #6CA6CD;
$SkyBlue4: #4A708B;
$SlateBlue: #6A5ACD;
$SlateBlue1: #836FFF;
$SlateBlue2: #7A67EE;
$SlateBlue3: #6959CD;
$SlateBlue4: #473C8B;
$SlateGray: #708090;
$SlateGray1: #C6E2FF;
$SlateGray2: #B9D3EE;
$SlateGray3: #9FB6CD;
$SlateGray4: #6C7B8B;
$SlateGrey: #708090;
$Snow: #FFFAFA;
$Snow1: #FFFAFA;
$Snow2: #EEE9E9;
$Snow3: #CDC9C9;
$Snow4: #8B8989;
$SpringGreen: #00FF7F;
$SpringGreen1: #00FF7F;
$SpringGreen2: #00EE76;
$SpringGreen3: #00CD66;
$SpringGreen4: #008B45;
$SteelBlue: #4682B4;
$SteelBlue1: #63B8FF;
$SteelBlue2: #5CACEE;
$SteelBlue3: #4F94CD;
$SteelBlue4: #36648B;
$Tan: #D2B48C;
$Tan1: #FFA54F;
$Tan2: #EE9A49;
$Tan3: #CD853F;
$Tan4: #8B5A2B;
$Teal: #008080;
$Thistle: #D8BFD8;
$Thistle1: #FFE1FF;
$Thistle2: #EED2EE;
$Thistle3: #CDB5CD;
$Thistle4: #8B7B8B;
$Tomato: #FF6347;
$Tomato1: #FF6347;
$Tomato2: #EE5C42;
$Tomato3: #CD4F39;
$Tomato4: #8B3626;
$Turquoise: #40E0D0;
$Turquoise1: #00F5FF;
$Turquoise2: #00E5EE;
$Turquoise3: #00C5CD;
$Turquoise4: #00868B;
$Violet: #EE82EE;
$VioletRed: #D02090;
$VioletRed1: #FF3E96;
$VioletRed2: #EE3A8C;
$VioletRed3: #CD3278;
$VioletRed4: #8B2252;
$Wheat: #F5DEB3;
$Wheat1: #FFE7BA;
$Wheat2: #EED8AE;
$Wheat3: #CDBA96;
$Wheat4: #8B7E66;
$White: #FFFFFF;
$WhiteSmoke: #F5F5F5;
$Yellow: #FFFF00;
$Yellow1: #FFFF00;
$Yellow2: #EEEE00;
$Yellow3: #CDCD00;
$Yellow4: #8B8B00;
$YellowGreen: #9ACD32;
